,Model SKU,Current Base Line Cost,MODEL
289,M70Q-M-I5HC,300.0,M70Q-M-I5
290,M70Q-M-I5SC,300.0,M70Q-M-I5
151,7060-M-I7QC,240.0,7060-M-I7
150,7060-M-I7HC,240.0,7060-M-I7
148,7060-M-I76C,240.0,7060-M-I7
40,3080-M-I5HC,234.0,3080-M-I5
34,3060-M-I76C,216.0,3060-M-I7
36,3060-M-I7QC,216.0,3060-M-I7
35,3060-M-I7HC,216.0,3060-M-I7
72,5070-M-I5HC,215.0,5070-M-I5
349,M920Q-M-I76C,210.0,M920Q-M-I7
351,M920Q-M-I7QC,210.0,M920Q-M-I7
37,3070-M-I5HC,210.0,3070-M-I5
152,7070-M-I5HC,205.0,7070-M-I5
153,7070-M-I5SC,205.0,7070-M-I5
306,M720Q-M-I5SC,192.0,M720Q-M-I5
145,7060-M-I5HC,190.0,7060-M-I5
146,7060-M-I5QC,190.0,7060-M-I5
147,7060-M-I5SC,190.0,7060-M-I5
347,M920Q-M-I5HC,180.0,M920Q-M-I5
348,M920Q-M-I5SC,180.0,M920Q-M-I5
299,M715Q-M-AMDQC,176.0,M715Q-M-AMDQC
62,400G5-M-I5HC,170.0,400G5-M-I5
71,5060-M-I5SC,170.0,5060-M-I5
70,5060-M-I5HC,170.0,5060-M-I5
95,600G5-M-I5HC,170.0,600G5-M-I5
32,3060-M-I5QC,170.0,3060-M-I5
33,3060-M-I5SC,170.0,3060-M-I5
31,3060-M-I5HC,170.0,3060-M-I5
304,M720Q-M-I5HC,160.0,M720Q-M-I5
305,M720Q-M-I5QC,160.0,M720Q-M-I5
143,705G4-M-AMDQC,159.0,705G4-M-AMDQC
67,5050-M-I7QC,158.0,5050-M-I7
201,800G4-M-I5QC,150.0,800G4-M-I5
134,7050-M-I7QC,150.0,7050-M-I7
202,800G4-M-I5SC,150.0,800G4-M-I5
93,600G4-M-I5HC,150.0,600G4-M-I5
200,800G4-M-I5HC,150.0,800G4-M-I5
61,400G4-M-I5SC,150.0,400G4-M-I5
59,400G4-M-I5HC,150.0,400G4-M-I5
60,400G4-M-I5QC,150.0,400G4-M-I5
187,800G2-D-I5QC,130.0,800G2-D-I5
341,M910S-D-I5QC,130.0,M910S-D-I5
106,6300G3-M-I5QC,120.0,6300G3-M-I5
23,3046-M-I5QC,120.0,3046-M-I5
180,800G1-T-I7QC,110.0,800G1-T-I7
89,600G2-M-I7QC,105.0,600G2-M-I7
245,9020-T-I7QC,105.0,9020-T-I7
24,3050-D-CDC,105.0,3050-D-CDC
66,5050-M-I5QC,100.0,5050-M-I5
196,800G3-M-I7QC,100.0,800G3-M-I7
191,800G2-M-I7QC,97.0,800G2-M-I7
28,3050-M-I7QC,95.0,3050-M-I7
112,7010-T-I7QC,95.0,7010-T-I7
231,9010-T-I7QC,95.0,9010-T-I7
126,7040-M-I7QC,95.0,7040-M-I7
288,M700-M-I7QC,90.0,M700-M-I7
340,M910Q-M-I7QC,88.0,M910Q-M-I7
333,M900-M-I7QC,88.0,M900-M-I7
229,9010-D-I7QC,85.0,9010-D-I7
179,800G1-T-I5QC,80.0,800G1-T-I5
261,990-U-I7QC,80.0,990-U-I7
57,400G4-D-I5QC,80.0,400G4-D-I5
178,800G1-M-I7QC,77.0,800G1-M-I7
141,705G3-M-A10,70.0,705G3-M-A10
230,9010-T-I5QC,70.0,9010-T-I5
282,M625Q-M-AMDDC,70.0,M625Q-M-AMDDC
258,990-T-I7QC,70.0,990-T-I7
123,7040-M-I3DC,70.0,7040-M-I3
121,7020-T-I5QC,70.0,7020-T-I5
283,M625Q-M-AMDQC,70.0,M625Q-M-AMDQC
244,9020-T-I5QC,70.0,9020-T-I5
194,800G3-M-I5QC,68.0,800G3-M-I5
197,800G3-U-I5QC,68.0,800G3-U-I5
189,800G2-M-I5QC,67.0,800G2-M-I5
132,7050-M-I5QC,67.0,7050-M-I5
125,7040-M-I5QC,67.0,7040-M-I5
87,600G2-M-I5QC,67.0,600G2-M-I5
399,T820-U-I5QC,65.0,T820-U-I5
167,790-U-I7QC,65.0,790-U-I7
27,3050-M-I5QC,65.0,3050-M-I5
56,400G3-M-I5QC,65.0,400G3-M-I5
92,600G3-M-I5QC,65.0,600G3-M-I5
21,3040-M-I5QC,65.0,3040-M-I5
296,M710Q-M-I5QC,65.0,M710Q-M-I5
250,9020-U-I7QC,65.0,9020-U-I7
363,M93P-M-I7QC,63.0,M93P-M-I7
186,800G1-U-I7QC,60.0,800G1-U-I7
18,3040-M-I3DC,60.0,3040-M-I3
19,3040-M-I3QC,60.0,3040-M-I3
241,9020-M-I7QC,60.0,9020-M-I7
157,780-U-C2D,59.0,780-U-C2D
379,SLICEG1-M-I5QC,56.0,SLICEG1-M-I5
286,M700-M-I5QC,55.0,M700-M-I5
237,9010-U-I7QC,55.0,9010-U-I7
256,980-T-I7QC,55.0,980-T-I7
255,980-T-I7DC,55.0,980-T-I7
213,8200-T-I5QC,55.0,8200-T-I5
228,8300-U-I7QC,55.0,8300-U-I7
220,8200-U-I7QC,55.0,8200-U-I7
414,Z240-D-I5QC,55.0,Z240-D-I5
102,6200-T-I5QC,55.0,6200-T-I5
53,400G3-D-I5QC,55.0,400G3-D-I5
111,7010-T-I5QC,50.0,7010-T-I5
397,T610-U-GT56N,50.0,T610-U-GT56N
383,T510-U-EDENDC,50.0,T510-U-EDENDC
13,3020-T-I5QC,50.0,3020-T-I5
118,7010-U-I7QC,50.0,7010-U-I7
75,6005-U-ATH2X2,50.0,6005-U-ATH2X2
77,600G1-D-I5QC,50.0,600G1-D-I5
139,705G2-M-A8,50.0,705G2-M-A8
339,M910Q-M-I5QC,48.0,M910Q-M-I5
330,M900-D-I5QC,46.0,M900-D-I5
332,M900-M-I5QC,46.0,M900-M-I5
331,M900-M-I5DC,46.0,M900-M-I5
328,M90-U-I5DC,45.0,M90-U-I5
85,600G2-M-I3DC,45.0,600G2-M-I3
352,M92P-M-I5DC,45.0,M92P-M-I5
110,7010-T-I3DC,45.0,7010-T-I3
353,M92P-M-I5QC,45.0,M92P-M-I5
129,7050-M-I3DC,45.0,7050-M-I3
130,7050-M-I3QC,45.0,7050-M-I3
257,990-T-I5QC,45.0,990-T-I5
11,3010-T-I5QC,45.0,3010-T-I5
