"","Model SKU","SKU Class","Recent Stock Avergae Cost","Recent Stock Quantity Eligible / Active","All Stock Avergae Cost","All Stock Quantity Eligible / Active","Reminder Date","Reminder Notes","Last Updated","Updated By","Current Base Line Cost","Base Line Cost",
"","-M-I5DC","ODDBALL","0","0 / 0","0","0 / 0","","","2021-03-04 04:45:03","","0","",
"","-U-8200","ODDBALL","0","0 / 0","0","0 / 0","","","2020-12-07 14:53:11","","0","",
"","-U-I5QC","ODDBALL","0","0 / 0","0","0 / 0","","","2021-08-06 04:45:05","","0","",
"","-U-I7QC","ODDBALL","0","0 / 0","0","0 / 0","","","2021-08-06 04:45:05","","0","",
"","10G9000NUS-M-PENT","ODDBALL","0","0 / 1","13.34","1 / 1","","","2022-07-27 10:33:48","","0","",
"","10G9000NUS-M-PQC","ODDBALL","0","0 / 473","13.5","454 / 473","","","2021-03-13 04:45:05","","0","",
"","260G1-M-I5DC","ODDBALL","0","0 / 0","0","0 / 0","","","","","0","",
"","260G1-M-I5QC","ODDBALL","0","0 / 0","0","0 / 0","","","","","0","",
"","3010-D-CELDC","ODDBALL","0","0 / 0","0","0 / 0","0000-00-00 00:00:00","","2021-06-21 13:36:24","","0","",
"","3010-D-I5QC","ODDBALL","0","0 / 0","0","0 / 0","","","2020-12-08 12:47:04","","45","",
"","3010-D-PG","ODDBALL","0","0 / 1","0","0 / 1","","","2022-07-27 10:33:48","","0","",
"","3010-T-I5QC","ODDBALL","0","0 / 0","0","0 / 0","","","2020-12-08 12:47:04","","45","",
"","3020-M-I5QC","CORE","0","0 / 0","0","0 / 0","0000-00-00 00:00:00","","2022-08-12 09:43:42","Jason Blair","30","",
"","3020-T-I5QC","ODDBALL","0","0 / 0","0","0 / 0","","","2020-12-09 17:28:07","Kurt Reynolds","50","",
"","3020M-M-I3DC","ODDBALL","0","0 / 9","16.62","9 / 9","","","2020-12-07 14:53:11","","0","",
"","3020M-M-I3QC","ODDBALL","0","0 / 0","0","0 / 0","","","","","0","",
"","3020M-M-I5QC","CORE","0","0 / 9","38.19","8 / 9","0000-00-00 00:00:00","","2022-08-12 09:43:42","Jason Blair","30","",
"","3020M-M-PENT","ODDBALL","0","0 / 1","32.07","1 / 1","","","2022-07-27 10:33:48","","0","",
"","3040-M-I3DC","ODDBALL","0","0 / 0","0","0 / 0","0000-00-00 00:00:00","","2022-04-17 20:33:00","Jason Blair","60","",
