,Model SKU,Current Base Line Cost
289,M70Q-M-I5HC,300.0
290,M70Q-M-I5SC,300.0
151,7060-M-I7QC,240.0
150,7060-M-I7HC,240.0
148,7060-M-I76C,240.0
40,3080-M-I5HC,234.0
34,3060-M-I76C,216.0
36,3060-M-I7QC,216.0
35,3060-M-I7HC,216.0
72,5070-M-I5HC,215.0
349,M920Q-M-I76C,210.0
351,M920Q-M-I7QC,210.0
37,3070-M-I5HC,210.0
152,7070-M-I5HC,205.0
153,7070-M-I5SC,205.0
306,M720Q-M-I5SC,192.0
145,7060-M-I5HC,190.0
146,7060-M-I5QC,190.0
147,7060-M-I5SC,190.0
347,M920Q-M-I5HC,180.0
348,M920Q-M-I5SC,180.0
299,M715Q-M-AMDQC,176.0
62,400G5-M-I5HC,170.0
71,5060-M-I5SC,170.0
70,5060-M-I5HC,170.0
95,600G5-M-I5HC,170.0
32,3060-M-I5QC,170.0
33,3060-M-I5SC,170.0
31,3060-M-I5HC,170.0
304,M720Q-M-I5HC,160.0
305,M720Q-M-I5QC,160.0
143,705G4-M-AMDQC,159.0
67,5050-M-I7QC,158.0
201,800G4-M-I5QC,150.0
134,7050-M-I7QC,150.0
202,800G4-M-I5SC,150.0
93,600G4-M-I5HC,150.0
200,800G4-M-I5HC,150.0
61,400G4-M-I5SC,150.0
59,400G4-M-I5HC,150.0
60,400G4-M-I5QC,150.0
187,800G2-D-I5QC,130.0
341,M910S-D-I5QC,130.0
106,6300G3-M-I5QC,120.0
23,3046-M-I5QC,120.0
180,800G1-T-I7QC,110.0
89,600G2-M-I7QC,105.0
245,9020-T-I7QC,105.0
24,3050-D-CDC,105.0
66,5050-M-I5QC,100.0
196,800G3-M-I7QC,100.0
191,800G2-M-I7QC,97.0
28,3050-M-I7QC,95.0
112,7010-T-I7QC,95.0
231,9010-T-I7QC,95.0
126,7040-M-I7QC,95.0
288,M700-M-I7QC,90.0
340,M910Q-M-I7QC,88.0
333,M900-M-I7QC,88.0
229,9010-D-I7QC,85.0
179,800G1-T-I5QC,80.0
261,990-U-I7QC,80.0
57,400G4-D-I5QC,80.0
178,800G1-M-I7QC,77.0
141,705G3-M-A10,70.0
230,9010-T-I5QC,70.0
282,M625Q-M-AMDDC,70.0
258,990-T-I7QC,70.0
123,7040-M-I3DC,70.0
121,7020-T-I5QC,70.0
283,M625Q-M-AMDQC,70.0
244,9020-T-I5QC,70.0
194,800G3-M-I5QC,68.0
197,800G3-U-I5QC,68.0
189,800G2-M-I5QC,67.0
132,7050-M-I5QC,67.0
125,7040-M-I5QC,67.0
87,600G2-M-I5QC,67.0
399,T820-U-I5QC,65.0
167,790-U-I7QC,65.0
27,3050-M-I5QC,65.0
56,400G3-M-I5QC,65.0
92,600G3-M-I5QC,65.0
21,3040-M-I5QC,65.0
296,M710Q-M-I5QC,65.0
250,9020-U-I7QC,65.0
363,M93P-M-I7QC,63.0
186,800G1-U-I7QC,60.0
18,3040-M-I3DC,60.0
19,3040-M-I3QC,60.0
241,9020-M-I7QC,60.0
157,780-U-C2D,59.0
379,SLICEG1-M-I5QC,56.0
286,M700-M-I5QC,55.0
237,9010-U-I7QC,55.0
256,980-T-I7QC,55.0
255,980-T-I7DC,55.0
213,8200-T-I5QC,55.0
228,8300-U-I7QC,55.0
220,8200-U-I7QC,55.0
